sl.no,station,index,district,state,latitude,longitude,height
1,AGARTALA,42724,WEST TRIPURA,TRIPURA,23.8315,91.2868,16
2,AJMER,42343,AJMER,RAJASTHAN,26.449,74.6399,486
3,AKOLA,42933,AKOLA,MAHARASHTRA,20.7059,77.0219,NULL
4,ALLAHABAD,42475,ALLAHABAD,UTTAR PRADESH,25.4358,81.8463,98
5,BAHRAICH,42273,BAHRAICH,UTTAR PRADESH,27.5708,81.598,124
6,BHAKRA,NULL,NULL,NULL,31.4105,76.4334,NULL
7,BHAVNAGAR,42838,BHAVNAGAR,GUJARAT,21.7645,72.1519,11
8,BHOPAL,42667,BHOPAL,MADHYA PRADESH,23.2599,77.4126,523
9,BHUJ,42634,KUTCH,GUJARAT,23.242,69.6669,80
10,BHUBANESHWAR,42971,KHURDA,ORISSA,20.2961,85.8245,46
11,AIZWAL,42727,AIZWAL,MIZORAM,23.7271,92.7176,1097
12,DHUBRI,42404,DHUBRI,ASSAM,26.1359,89.9253,36
13,KOLKATA,42807,SOUTH 24 PARGANAS,WEST BENGAL,22.5726,88.3639,6
14,CHENNAI(NUNGAMBAKKAM),43278,CHENNAI,TAMIL NADU,13.0595,80.2425,7
15,DEHRA DUN,42111,DEHRA DUN,UTTARAKHAND,30.3165,78.0322,682
16,GANGTOK,42299,EAST SIKKIM,SIKKIM,27.3389,88.6065,NULL
17,IMPHAL,42623,IMPHAL WEST,MANIPUR,24.817,93.9368,774
18,JAMMU,42056,JAMMU,JAMMU & KASHMIR,32.7266,74.857,367
19,JHANSI,42463,JHANSI,UTTAR PRADESH,25.4484,78.5685,258
20,BOKARO,NULL,BOKARO,JHARKHAND,23.6693,86.1511,NULL
22,KARAD,NULL,SATARA,MAHARASHTRA,17.276,74.2003,NULL
23,KODAIKANAL,43339,DINDIGUL,TAMIL NADU,10.2381,77.4892,2343
24,LATUR,NULL,LATUR,MAHARASHTRA,18.4088,76.5604,NULL
25,LEKHAPANI,NULL,TINSUKIA,ASSAM,27.19,95.54,NULL
26,SEISMO LOHAGHAT,NULL,CHAMPAWAT,UTTARAKHAND,29.42,80.1,NULL
27,MANGALORE (PANAMBUR),43285,DAKSHINA KANNADA,KARNATAKA,12.9141,74.856,31
28,MINICOY,43369,LAKSHAWDEEP,LAKSHAWDEEP,8.274,73.0496,2
29,MUMBAI (COLABA),43057,GREATER MUMBAI,MAHARASHTRA,19.076,72.8777,11
30,NAGPUR,42867,NAGPUR,MAHARASHTRA,21.1458,79.0882,310
31,PITHORAGARH,T1718,PITHOGRAPH,UTTARAKHAND,29.5829,80.2182,NULL
32,PORT BLAIR,43333,ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,11.6234,92.7265,79
33,PUNE,43063,PUNE,MAHARASHTRA,18.5204,73.8567,559
34,SAHIBGANJ,NULL,SAHIBGANJ,JHARKHAND,24.9802,87.6186,NULL
35,SALEM,43325,SALEM,TAMIL NADU,11.6643,78.146,278
36,SILIGURI,42397,DARJEELING,WEST BENGAL,26.7271,88.3953,123
37,THEIN DAM,NULL,GURDASPUR,PUNJAB,23.26,75.43,NULL
38,THIRUVANANTHAPURAM,43371,THIRUVANANTHAPURAM,KERALA,8.5241,76.9366,64
39,DIBRUGARH,42314,DIBRUGARH,ASSAM,27.4828,94.912,111
40,VALMIKINAGAR,NULL,WEST CHAMPARAN,BIHAR,27.404,83.9003,NULL
41,VARANASI,42483,VARANASI,UTTAR PRADESH,25.3176,82.9739,90
42,VIJAYAWADA,43180,KRISHNA,ANDHRA PRADESH,16.5062,80.648,20
43,ASAURA,NULL,GHAZIABAD,UTTAR PRADESH,28.45,77.46,NULL
44,NEW DELHI (AYANAGAR),42180,SOUTH WEST DELHI,NCT OF DELHI,28.472,71.1329,NULL
45,CAMPBELL BAY,NULL,NICOBAR,ANDAMAN AND NICOBAR ISLANDS,7.0076,93.9048,NULL
46,DHARAMSHALA,42062,KANGRA,HIMACHAL PRADESH,32.219,76.3234,1211
47,DILGIPUR,NULL,ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,13.2652,92.9825,NULL
48,HYDERABAD,43128,RANGAREDDY,TELANGANA,17.385,78.4867,545
49,BILASPUR,42782,BILASPUR,CHHATTISGARH,22.0796,82.1391,262
50,SHIMLA,42083,SHIMLA,HIMACHAL PRADESH,31.1048,77.1734,2202
51,AGRA,42261,AGRA,UTTAR PRADESH,27.1767,78.0081,169
52,GOA/DABOLIM,43194,SOUTH GOA,GOA,15.2993,74.124,52
53,GUWAHATI,42410,KAMRUP METRO,ASSAM,26.1445,91.7362,54
54,ITANAGAR,42308,PAPUMPARE,ARUNACHAL PRADESH,27.0844,93.6053,NULL
55,JAISALMER,42328,JAISALMER,RAJASTHAN,26.9157,70.9083,231
56,JHARSUGUDA,42886,JHARSUGUDA,ORISSA,21.8554,84.0062,230
57,JORHAT,42423,JORHAT,ASSAM,26.7465,94.2026,87
58,JOSHIMATH,42116,CHAMOLI,UTTARAKHAND,30.5506,79.566,NULL
59,KALPA,42066,KINNAUR,HIMACHAL PRADESH,31.5377,78.2754,NULL
60,KOHIMA,42527,KOHIMA,NAGALAND,25.6586,94.1053,1406
61,MEERUT,42139,MEERUT,UTTAR PRADESH,28.9845,77.7064,222
62,PASIGHAT,42220,EAST SIANG,ARUNACHAL PRADESH,28.0619,95.3259,157
63,DELHI (RIDGE),42184,NORTH DELHI,NCT OF DELHI,28.4472,77.1329,NULL
64,ROHTAK,42176,ROHTAK,HARYANA,28.42,77.13,NULL
65,SHILLONG,42516,EAST KHASI HILLS,MEGHALAYA,25.5788,91.8933,1598
66,SILCHAR,42619,CACHER,ASSAM,24.8333,92.7789,29
67,SOHNA,NULL,FARIDABAD,HARYANA,28.2487,77.0635,NULL
68,TAWANG,NULL,TAWANG,ARUNACHAL PRADESH,27.5781,91.8757,NULL
69,TEZPUR,42415,SONITPUR,ASSAM,26.6528,92.7926,79
70,TURA,42511,WEST GARO HILLS,MEGHALAYA,25.5141,90.2032,NULL
71,VIJAYAWADA,43180,KRISHNA,ANDHRA PRADESH,16.5062,80.648,20
72,ZIRO,42312,LOWER SUBANSIRI,ARUNACHAL PRADESH,27.5448,93.8196,NULL
73,BAHADURGARH,NULL,JHAJJAR,HARYANA,28.3339,77.4279,214
74,BELONIA,NULL,SOUTH TRIPURA,TRIPURA,23.2505,91.4676,20
75,BISRAKH,NULL,GAUTAM BUDDHA NAGAR(NOIDA),UTTAR PRADESH,28.5663,77.4329,200
76,KALAGARH,NULL,PAURI GARHWAL,UTTARKHAND,29.4889,78.7604,1814
77,KHETRI,NULL,JHUNJHUNU,RAJASTHAN,28.0724,75.8229,320
78,KUNDAL,NULL,SONIPAT,HARYANA,17.1171,74.4096,227
79,KURUKSHETRA,NULL,KURUKSHETRA,HARYANA,29.9695,76.8783,250
80,MOKOKCHUNG,NULL,MOKOKCHUNG,NAGALAND,26.322,94.5135,1353
81,RAYAGADA,NULL,RAYAGADA,ORISSA,19.1712,83.4163,255
82,SAIHA,NULL,SAIHA,MIZORAM,22.4897,92.9793,729
83,UNCHAGAON,NULL,HATHRAS,UTTAR PRADESH,28.4871,78.1515,237
84,NEW DELHI,42182,NEW DELHI,NCT OF DELHI,28.6139,77.209,216
